,total_pop,housing_units,occupied_housing_units,white_pop,afam_pop,amindian_pop,asian_pop,hawaiian_pop,other_race,two_or_more,PCT0050002,PCT0050003,PCT0050004,PCT0050005,PCT0050006,PCT0050007,PCT0050008,PCT0050009,PCT0050010,PCT0050011,PCT0050012,PCT0050013,PCT0050014,PCT0050015,PCT0050016,PCT0050017,PCT0050018,PCT0050019,PCT0050020,PCT0050021,PCT0050022,male,female,state,zipcode,median_income,median_age,under_18,above_18,zip,naics,est,n1_4,n5_9,n10_19,n20_49,n50_99,n100_249,n250_499,n500_999,n1000
33,7238,2693,2493,6010,262,42,581,1,136,206,145,0,0,0,6,135,49,0,1,25,136,2,1,0,7,1,8,4,45,0,3,3538,3700,04,85045.0,120804.0,38.9,2240,4998,85045,------,87,79,6,1,1,0,0,0,0,0
34,33449,13632,12613,27017,1548,356,2333,68,900,1227,575,8,0,1,4,607,239,0,8,131,377,13,19,9,21,1,54,22,188,0,15,16411,17038,04,85048.0,98382.0,39.1,8940,24475,85048,------,768,543,93,65,50,11,5,1,0,0
35,25736,11333,10198,22740,458,105,1266,14,520,633,550,0,0,1,2,284,168,0,0,38,79,0,1,0,29,2,13,9,37,1,24,12307,13429,04,85050.0,82529.0,37.6,6602,19024,85050,------,734,454,100,68,79,18,12,2,1,0
36,40375,16525,14174,25849,2608,1256,1545,97,7371,1649,86,2,23,406,2,133,226,0,4,52,34,18,0,2,11,0,0,39,434,0,45,20242,20133,04,85051.0,38864.0,32.9,11299,28912,85051,------,608,291,145,84,63,17,7,1,0,0
37,28480,11898,10854,22679,1214,481,617,46,2445,998,47,0,0,0,9,102,142,0,4,28,28,17,1,5,2,0,1,10,166,0,32,14379,14101,04,85053.0,47387.0,35,6983,21355,85053,------,467,255,108,43,36,8,10,4,3,0
38,5384,3801,2967,4636,173,34,293,5,104,139,113,0,0,0,0,43,50,0,1,20,13,1,0,0,9,1,6,1,17,0,8,2663,2721,04,85054.0,76413.0,35.2,738,4633,85054,------,248,121,28,30,32,19,11,2,2,3
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85001,------,35,20,4,4,5,2,0,0,0,0
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85002,------,9,5,2,0,1,1,0,0,0,0
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85005,------,12,4,0,1,4,2,1,0,0,0
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85010,------,6,3,1,2,0,0,0,0,0,0
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85011,------,7,5,1,0,1,0,0,0,0,0
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85025,------,7,5,0,0,0,0,2,0,0,0
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85026,------,5,2,1,0,1,0,1,0,0,0
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85030,------,4,4,0,0,0,0,0,0,0,0
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85036,------,31,9,7,7,5,2,1,0,0,0
48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85038,------,5,0,3,1,1,0,0,0,0,0
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85039,------,2,2,0,0,0,0,0,0,0,0
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85046,------,9,5,2,1,0,1,0,0,0,0
