,Unnamed: 0,median_income,housing_units,occupied_housing_units,total_pop,white_pop,afam_pop,amindian_pop,asian_pop,hawaiian_pop,other_race,two_or_more,male,female,median_age,under_18,above_18,PCT0050002,PCT0050003,PCT0050004,PCT0050005,PCT0050006,PCT0050007,PCT0050008,PCT0050009,PCT0050010,PCT0050011,PCT0050012,PCT0050013,PCT0050014,PCT0050015,PCT0050016,PCT0050017,PCT0050018,PCT0050019,PCT0050020,PCT0050021,PCT0050022,state,zipcode,zip,naics,est,n1_4,n5_9,n10_19,n20_49,n50_99,n100_249,n250_499,n500_999,n1000
51,51.0,81031.0,7618.0,6569.0,17517.0,14645.0,427.0,102.0,1332.0,37.0,426.0,548.0,8651.0,8866.0,31.9,4900.0,12566.0,539.0,0.0,0.0,0.0,13.0,169.0,116.0,0.0,3.0,31.0,161.0,1.0,1.0,1.0,29.0,0.0,7.0,10.0,197.0,0.0,26.0,4.0,85085.0,85085,------,545,306,74,79,57,13,10,5,1,0
52,52.0,48257.0,17709.0,15114.0,32850.0,25739.0,1197.0,677.0,697.0,42.0,3480.0,1018.0,16163.0,16687.0,41.2,6686.0,25754.0,166.0,0.0,0.0,6.0,7.0,145.0,134.0,0.0,1.0,63.0,44.0,10.0,1.0,0.0,2.0,8.0,2.0,7.0,58.0,0.0,19.0,4.0,85020.0,85020,------,1035,609,163,122,93,24,17,3,3,1
53,53.0,48711.0,9718.0,8567.0,30310.0,15801.0,2548.0,583.0,1395.0,56.0,8582.0,1345.0,14988.0,15322.0,28.0,10439.0,19741.0,87.0,0.0,0.0,11.0,25.0,101.0,345.0,0.0,5.0,21.0,50.0,18.0,0.0,0.0,0.0,5.0,6.0,47.0,610.0,0.0,36.0,4.0,85303.0,85303,------,222,102,46,28,25,14,6,1,0,0
54,54.0,90773.0,13857.0,12721.0,38332.0,30769.0,1442.0,340.0,2873.0,75.0,1400.0,1433.0,18987.0,19345.0,29.8,12835.0,25473.0,507.0,65.0,0.0,8.0,29.0,558.0,647.0,0.0,11.0,76.0,206.0,16.0,0.0,2.0,61.0,6.0,19.0,29.0,520.0,0.0,38.0,4.0,85295.0,85295,------,737,444,100,84,72,21,11,5,0,0
55,55.0,50182.0,10943.0,9168.0,19314.0,14167.0,1348.0,768.0,607.0,37.0,1728.0,659.0,9859.0,9455.0,38.9,3718.0,15358.0,160.0,7.0,0.0,4.0,4.0,95.0,138.0,0.0,0.0,32.0,28.0,2.0,0.0,0.0,4.0,1.0,0.0,8.0,86.0,0.0,23.0,4.0,85013.0,85013,------,602,331,100,83,55,17,14,1,0,1
56,56.0,56272.0,27397.0,25025.0,69810.0,46397.0,3796.0,1551.0,3262.0,171.0,11845.0,2788.0,34409.0,35401.0,31.2,19653.0,49971.0,575.0,27.0,3.0,0.0,56.0,604.0,648.0,0.0,19.0,128.0,264.0,18.0,5.0,13.0,54.0,3.0,31.0,53.0,617.0,2.0,46.0,4.0,85225.0,85225,------,1190,684,226,130,104,26,16,2,2,0
57,57.0,70309.0,26234.0,24405.0,63876.0,54651.0,1581.0,501.0,3026.0,100.0,2195.0,1822.0,31263.0,32613.0,38.7,14701.0,48491.0,949.0,8.0,3.0,3.0,31.0,503.0,396.0,0.0,12.0,113.0,379.0,18.0,1.0,13.0,69.0,4.0,28.0,28.0,338.0,4.0,62.0,4.0,85308.0,85308,------,1810,972,348,258,159,42,23,5,3,0
58,58.0,32349.0,1854.0,1539.0,4974.0,661.0,12.0,3988.0,7.0,5.0,99.0,202.0,2367.0,2607.0,29.5,1679.0,3290.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,85256.0,85256,------,67,28,8,8,14,2,4,1,1,1
59,59.0,56552.0,9772.0,9092.0,25883.0,20872.0,961.0,321.0,935.0,60.0,1795.0,939.0,12637.0,13246.0,38.0,6218.0,19279.0,109.0,3.0,0.0,3.0,45.0,181.0,182.0,0.0,3.0,41.0,82.0,12.0,0.0,1.0,2.0,1.0,14.0,25.0,170.0,2.0,25.0,4.0,85304.0,85304,------,276,173,46,29,18,6,3,1,0,0
60,60.0,77415.0,14487.0,13674.0,37564.0,29596.0,1330.0,407.0,2502.0,120.0,2221.0,1388.0,18439.0,19125.0,34.7,10190.0,27311.0,536.0,14.0,0.0,3.0,19.0,545.0,322.0,0.0,2.0,102.0,263.0,13.0,3.0,10.0,35.0,5.0,26.0,35.0,464.0,0.0,46.0,4.0,85233.0,85233,------,1124,584,182,137,135,53,24,6,1,2
61,61.0,56640.0,9673.0,8485.0,31011.0,16392.0,2968.0,488.0,793.0,74.0,8904.0,1392.0,15096.0,15915.0,26.0,11502.0,19509.0,71.0,11.0,0.0,1.0,26.0,48.0,248.0,0.0,5.0,8.0,16.0,65.0,0.0,0.0,13.0,6.0,0.0,12.0,219.0,0.0,19.0,4.0,85353.0,85353,------,319,111,60,53,38,24,22,8,1,2
62,62.0,47422.0,13644.0,12172.0,35541.0,26367.0,1116.0,1498.0,388.0,137.0,4908.0,1127.0,17623.0,17918.0,31.4,10450.0,24924.0,38.0,0.0,0.0,4.0,0.0,101.0,68.0,0.0,0.0,37.0,27.0,1.0,0.0,0.0,18.0,3.0,2.0,9.0,60.0,0.0,7.0,4.0,85203.0,85203,------,711,409,129,96,58,12,5,2,0,0
63,63.0,77932.0,15439.0,14624.0,37376.0,28237.0,1616.0,722.0,3797.0,66.0,1575.0,1363.0,18327.0,19049.0,35.0,9370.0,27947.0,1575.0,76.0,0.0,12.0,21.0,746.0,370.0,2.0,14.0,91.0,229.0,7.0,13.0,7.0,61.0,15.0,68.0,46.0,324.0,1.0,50.0,4.0,85226.0,85226,------,1479,620,276,231,201,86,47,10,5,3
64,64.0,53694.0,17220.0,14237.0,51705.0,33278.0,3433.0,979.0,702.0,98.0,11244.0,1971.0,28346.0,23359.0,30.3,15983.0,30615.0,48.0,0.0,0.0,0.0,31.0,37.0,278.0,0.0,2.0,26.0,49.0,27.0,1.0,0.0,5.0,17.0,0.0,31.0,98.0,0.0,31.0,4.0,85326.0,85326,------,442,238,81,55,46,12,6,3,1,0
